Cidade;Ano;Mês;HOMICÍDIO DOLOSO (2);Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO CULPOSO OUTROS;TENTATIVA DE HOMICÍDIO;LESÃO CORPORAL SEGUIDA DE MORTE;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;LESÃO CORPORAL CULPOSA - OUTRAS;LATROCÍNIO;Nº DE VÍTIMAS EM LATROCÍNIO;TOTAL DE ESTUPRO (4);ESTUPRO;ESTUPRO DE VULNERÁVEL;TOTAL DE ROUBO - OUTROS (1);ROUBO - OUTROS;ROUBO DE VEÍCULO;ROUBO A BANCO;ROUBO DE CARGA;FURTO - OUTROS;FURTO DE VEÍCULO
Guarujá;2024;Março;2;2;0;0;1;0;3;2;87;21;22;0;0;14;2;12;190;189;6;0;1;313;11
Guarujá;2024;Abril;4;7;0;0;1;0;1;0;74;17;11;0;0;7;2;5;166;165;5;0;1;281;13
Guarujá;2024;Maio;4;5;0;0;0;1;2;0;58;32;0;0;0;9;2;7;138;137;4;0;1;280;7
Guarujá;2024;Junho;4;4;0;0;3;0;1;0;83;30;4;0;0;2;0;2;151;147;3;0;4;343;11
Guarujá;2024;Julho;0;0;0;0;1;0;4;0;50;24;1;0;0;7;2;5;105;101;2;0;4;300;11
Guarujá;2024;Agosto;1;1;0;0;4;0;2;0;64;52;2;0;0;12;1;11;130;129;2;0;1;339;16
Guarujá;2024;Setembro;3;3;0;0;1;0;4;0;58;33;1;0;0;6;0;6;108;106;7;0;2;327;22
Guarujá;2024;Outubro;3;3;0;0;2;1;3;0;86;29;2;0;0;8;2;6;127;126;7;0;1;245;17
Guarujá;2024;Novembro;2;2;0;0;4;0;5;0;76;46;2;0;0;8;3;5;158;156;5;0;2;297;23
Guarujá;2024;Dezembro;2;2;0;0;2;0;1;0;94;36;3;0;0;8;2;6;185;184;7;0;1;293;26
Praia Grande;2024;Janeiro;1;1;0;0;4;0;2;0;152;61;7;0;0;6;2;4;242;229;6;0;13;563;62
Praia Grande;2024;Fevereiro;1;1;0;0;2;1;2;0;102;34;7;0;0;7;1;6;207;189;4;0;18;474;57
Praia Grande;2024;Março;0;0;0;0;4;0;6;0;116;39;9;0;0;14;4;10;203;194;11;0;9;537;53
Praia Grande;2024;Abril;0;0;0;0;3;1;4;0;142;42;6;0;0;7;1;6;225;212;16;0;13;520;62
Praia Grande;2024;Maio;1;1;0;0;6;0;4;0;107;53;1;0;0;11;1;10;236;217;14;0;19;556;93
Praia Grande;2024;Junho;1;1;0;0;2;0;2;0;104;50;0;0;0;8;0;8;206;195;8;0;11;507;70
Praia Grande;2024;Julho;2;2;0;0;6;0;1;0;94;51;3;0;0;11;5;6;205;202;6;0;3;539;52
Praia Grande;2024;Agosto;5;6;0;0;2;0;2;0;96;57;1;0;0;13;2;11;205;197;7;0;8;656;73
Praia Grande;2024;Setembro;1;1;0;0;1;0;1;0;115;48;1;0;0;7;1;6;234;228;14;0;6;621;92
Praia Grande;2024;Outubro;0;0;0;0;3;0;3;0;112;46;3;0;0;14;2;12;221;213;17;0;8;681;85
Praia Grande;2024;Novembro;1;1;0;0;2;0;4;1;133;42;2;0;0;12;6;6;217;214;10;0;3;645;84
Praia Grande;2024;Dezembro;1;2;1;2;6;0;3;0;152;49;4;0;0;8;4;4;218;211;11;0;7;626;87
Santos;2023;Janeiro;0;0;0;0;4;0;4;2;103;21;12;0;0;3;1;2;228;227;15;0;1;562;89
Santos;2023;Fevereiro;1;1;0;0;1;0;4;0;94;23;22;1;1;5;0;5;204;201;7;0;3;451;82
Santos;2023;Março;2;2;0;0;0;0;6;0;105;38;25;0;0;6;3;3;222;219;19;0;3;619;122
Santos;2023;Abril;0;0;0;0;4;0;7;0;98;43;24;0;0;5;1;4;243;242;12;0;1;568;106
Santos;2023;Maio;0;0;0;0;1;1;10;1;78;30;18;0;0;8;2;6;219;214;25;0;5;589;135
Santos;2023;Junho;1;1;0;0;3;0;5;0;68;26;33;0;0;8;0;8;186;186;24;0;0;542;96
Santos;2023;Julho;2;2;0;0;6;0;1;0;72;27;23;1;1;13;3;10;186;186;17;0;0;505;109
Santos;2023;Agosto;0;0;0;0;0;2;12;0;68;34;18;0;0;8;1;7;167;165;19;0;2;492;97
Santos;2023;Setembro;3;3;0;0;2;0;3;0;71;39;22;0;0;7;2;5;181;181;22;0;0;597;95
